Zeit;Kanal A
(s);(V)

-4,95669966;2,98889600
-4,95659966;2,98889600
-4,95649966;2,98889600
-4,95639966;2,98889600
-4,95629966;2,98889600
-4,95619966;2,98889600
-4,95609966;2,98889600
-4,95599966;2,98889600
-4,95589966;2,98889600
-4,95579966;2,98889600
-4,95569966;2,98889600
-4,95559966;3,03564800
-4,95549966;2,98889600
-4,95539966;2,98889600
-4,95529966;2,98889600
-4,95519966;2,98889600
-4,95509966;2,98889600
-4,95499966;3,03564800
-4,95489966;2,98889600
-4,95479966;2,98889600
-4,95469966;2,98889600
-4,95459966;2,98889600
-4,95449966;2,98889600
-4,95439966;2,98889600
-4,95429966;2,98889600
-4,95419966;2,98889600
-4,95409966;2,98889600
-4,95399966;2,98889600
-4,95389966;2,98889600
-4,95379966;2,98889600
-4,95369966;2,98889600
-4,95359966;2,98889600
-4,95349966;2,98889600
-4,95339966;2,98889600
-4,95329966;2,98889600
-4,95319966;2,98889600
-4,95309966;2,98889600
-4,95299966;2,98889600
-4,95289966;2,98889600
-4,95279966;2,98889600
-4,95269966;2,98889600
-4,95259966;2,98889600
-4,95249966;2,98889600
-4,95239966;2,98889600
-4,95229966;2,98889600
-4,95219966;2,98889600
-4,95209966;2,98889600
-4,95199966;3,03564800
-4,95189966;2,98889600
-4,95179966;2,98889600
-4,95169966;2,98889600
-4,95159966;2,98889600
-4,95149966;2,98889600
-4,95139966;2,98889600
-4,95129966;2,94214400
-4,95119966;2,98889600
-4,95109966;2,98889600
-4,95099966;2,98889600
-4,95089966;2,98889600
-4,95079966;2,98889600
-4,95069966;2,98889600
-4,95059966;2,98889600
-4,95049966;2,98889600
-4,95039966;2,98889600
-4,95029966;2,98889600
-4,95019966;2,98889600
-4,95009966;2,98889600
-4,94999966;2,98889600
-4,94989966;2,98889600
-4,94979966;2,98889600
-4,94969966;2,98889600
-4,94959966;2,98889600
-4,94949966;2,98889600
-4,94939966;2,98889600
-4,94929966;2,98889600
-4,94919966;2,98889600
-4,94909966;3,03564800
-4,94899966;2,98889600
-4,94889966;2,98889600
-4,94879966;3,03564800
-4,94869966;2,98889600
-4,94859966;3,03564800
-4,94849966;2,98889600
-4,94839966;2,98889600
-4,94829966;3,03564800
-4,94819966;3,03564800
-4,94809966;3,03564800
-4,94799966;2,98889600
-4,94789966;2,98889600
-4,94779966;2,98889600
-4,94769966;3,03564800
-4,94759966;2,98889600
-4,94749966;3,03564800
-4,94739966;3,03564800
-4,94729966;2,98889600
-4,94719966;2,98889600
-4,94709966;2,98889600
-4,94699966;2,98889600
-4,94689966;2,98889600
-4,94679966;3,03564800
-4,94669966;2,98889600
-4,94659966;2,98889600
-4,94649966;3,03564800
-4,94639966;2,98889600
-4,94629966;3,03564800
-4,94619966;2,98889600
-4,94609966;3,03564800
-4,94599966;2,98889600
-4,94589966;2,98889600
-4,94579966;2,98889600
-4,94569966;2,98889600
-4,94559966;3,03564800
-4,94549966;2,98889600
-4,94539966;3,03564800
-4,94529966;3,03564800
-4,94519966;2,98889600
-4,94509966;3,03564800
-4,94499966;2,98889600
-4,94489966;2,98889600
-4,94479966;2,98889600
-4,94469966;2,98889600
-4,94459966;2,98889600
-4,94449966;2,98889600
-4,94439966;2,98889600
-4,94429966;3,03564800
-4,94419966;3,03564800
-4,94409966;3,03564800
-4,94399966;2,98889600
-4,94389966;2,98889600
-4,94379966;3,03564800
-4,94369966;2,98889600
-4,94359966;2,98889600
-4,94349966;2,98889600
-4,94339966;2,98889600
-4,94329966;2,98889600
-4,94319966;2,98889600
-4,94309966;2,98889600
-4,94299966;2,98889600
-4,94289966;2,98889600
-4,94279966;2,98889600
-4,94269966;3,03564800
-4,94259966;3,03564800
-4,94249966;3,03564800
-4,94239966;2,98889600
-4,94229966;2,98889600
-4,94219966;2,98889600
-4,94209966;2,98889600
-4,94199966;2,98889600
-4,94189966;2,98889600
-4,94179966;2,98889600
-4,94169966;2,98889600
-4,94159966;2,98889600
-4,94149966;2,98889600
-4,94139966;2,98889600
-4,94129966;2,98889600
-4,94119966;3,03564800
-4,94109966;2,98889600
-4,94099966;3,03564800
-4,94089966;2,98889600
-4,94079966;2,98889600
-4,94069966;2,98889600
-4,94059966;2,98889600
-4,94049966;2,98889600
-4,94039966;3,03564800
-4,94029966;3,03564800
-4,94019966;2,98889600
-4,94009966;2,98889600
-4,93999966;3,03564800
-4,93989966;2,98889600
-4,93979966;2,98889600
-4,93969966;2,98889600
-4,93959966;3,03564800
-4,93949966;3,03564800
-4,93939966;2,98889600
-4,93929966;2,98889600
-4,93919966;2,98889600
-4,93909966;3,03564800
-4,93899966;2,98889600
-4,93889966;2,98889600
-4,93879966;2,98889600
-4,93869966;3,03564800
-4,93859966;2,98889600
-4,93849966;3,03564800
-4,93839966;3,03564800
-4,93829966;2,98889600
-4,93819966;2,98889600
-4,93809966;2,98889600
-4,93799966;2,98889600
-4,93789966;3,03564800
-4,93779966;3,03564800
-4,93769966;2,98889600
-4,93759966;2,98889600
-4,93749966;3,03564800
-4,93739966;3,03564800
-4,93729966;2,98889600
-4,93719966;3,03564800
-4,93709966;3,03564800
-4,93699966;3,03564800
-4,93689966;3,03564800
-4,93679966;3,03564800
-4,93669966;3,03564800
-4,93659966;2,98889600
-4,93649966;3,03564800
-4,93639966;2,98889600
-4,93629966;2,98889600
-4,93619966;2,98889600
-4,93609966;2,98889600
-4,93599966;2,98889600
-4,93589966;2,98889600
-4,93579966;3,03564800
-4,93569966;3,03564800
-4,93559966;3,03564800
-4,93549966;2,98889600
-4,93539966;3,03564800
-4,93529966;2,98889600
-4,93519966;2,98889600
-4,93509966;3,03564800
-4,93499966;2,98889600
-4,93489966;3,03564800
-4,93479966;3,03564800
-4,93469966;2,98889600
-4,93459966;3,03564800
-4,93449966;3,03564800
-4,93439966;3,03564800
-4,93429966;2,98889600
-4,93419966;2,98889600
-4,93409966;3,03564800
-4,93399966;3,03564800
-4,93389966;2,98889600
-4,93379966;3,03564800
-4,93369966;3,03564800
-4,93359966;3,03564800
-4,93349966;2,98889600
-4,93339966;2,98889600
-4,93329966;2,98889600
-4,93319966;2,98889600
-4,93309966;3,03564800
-4,93299966;2,98889600
-4,93289966;2,98889600
-4,93279966;3,03564800
-4,93269966;2,98889600
-4,93259966;3,03564800
-4,93249966;3,03564800
-4,93239966;3,03564800
-4,93229966;2,98889600
-4,93219966;3,03564800
-4,93209966;2,98889600
-4,93199966;3,03564800
-4,93189966;3,03564800
-4,93179966;3,03564800
-4,93169966;2,98889600
-4,93159966;2,98889600
-4,93149966;2,98889600
-4,93139966;3,03564800
-4,93129966;2,98889600
-4,93119966;2,98889600
-4,93109966;3,03564800
-4,93099966;2,98889600
-4,93089966;2,98889600
-4,93079966;2,98889600
-4,93069966;3,03564800
-4,93059966;2,98889600
-4,93049966;2,98889600
-4,93039966;2,98889600
-4,93029966;2,98889600
-4,93019966;2,98889600
-4,93009966;3,03564800
-4,92999966;2,98889600
-4,92989966;2,98889600
-4,92979966;2,98889600
-4,92969966;2,98889600
-4,92959966;2,98889600
-4,92949966;2,98889600
-4,92939966;3,03564800
-4,92929966;3,03564800
-4,92919966;2,98889600
-4,92909966;2,98889600
-4,92899966;3,03564800
-4,92889966;2,98889600
-4,92879966;3,03564800
-4,92869966;2,98889600
-4,92859966;2,98889600
-4,92849966;3,03564800
-4,92839966;2,98889600
-4,92829966;2,98889600
-4,92819966;2,98889600
-4,92809966;3,03564800
-4,92799966;3,03564800
-4,92789966;2,98889600
-4,92779966;2,98889600
-4,92769966;2,98889600
-4,92759966;3,03564800
-4,92749966;2,98889600
-4,92739966;2,98889600
-4,92729966;2,98889600
-4,92719966;2,98889600
-4,92709966;2,98889600
-4,92699966;2,98889600
-4,92689966;3,03564800
-4,92679966;2,98889600
-4,92669966;3,03564800
-4,92659966;3,03564800
-4,92649966;2,98889600
-4,92639966;2,98889600
-4,92629966;2,98889600
-4,92619966;2,98889600
-4,92609966;2,98889600
-4,92599966;2,98889600
-4,92589966;2,98889600
-4,92579966;2,98889600
-4,92569966;3,03564800
-4,92559966;3,03564800
-4,92549966;3,03564800
-4,92539966;2,98889600
-4,92529966;3,03564800
-4,92519966;3,03564800
-4,92509966;3,03564800
-4,92499966;2,98889600
-4,92489966;3,03564800
-4,92479966;3,03564800
-4,92469966;3,03564800
-4,92459966;3,03564800
-4,92449966;2,98889600
-4,92439966;2,98889600
-4,92429966;2,98889600
-4,92419966;3,03564800
-4,92409966;2,98889600
-4,92399966;2,98889600
-4,92389966;2,98889600
-4,92379966;3,03564800
-4,92369966;2,98889600
-4,92359966;3,03564800
-4,92349966;2,98889600
-4,92339966;3,03564800
-4,92329966;2,98889600
-4,92319966;2,98889600
-4,92309966;2,98889600
-4,92299966;3,03564800
-4,92289966;3,03564800
-4,92279966;2,98889600
-4,92269966;3,03564800
-4,92259966;3,03564800
-4,92249966;2,98889600
-4,92239966;2,98889600
-4,92229966;2,98889600
-4,92219966;2,98889600
-4,92209966;3,03564800
-4,92199966;3,03564800
-4,92189966;2,98889600
-4,92179966;3,03564800
-4,92169966;2,98889600
-4,92159966;2,98889600
-4,92149966;2,98889600
-4,92139966;3,03564800
-4,92129966;2,98889600
-4,92119966;2,98889600
-4,92109966;2,98889600
-4,92099966;2,98889600
-4,92089966;3,03564800
-4,92079966;3,03564800
-4,92069966;2,98889600
-4,92059966;3,03564800
-4,92049966;3,03564800
-4,92039966;3,03564800
-4,92029966;2,98889600
-4,92019966;3,03564800
-4,92009966;3,03564800
-4,91999966;3,03564800
-4,91989966;2,98889600
-4,91979966;2,98889600
-4,91969966;3,03564800
-4,91959966;2,98889600
-4,91949966;2,98889600
-4,91939966;2,98889600
-4,91929966;2,98889600
-4,91919966;3,03564800
-4,91909966;2,98889600
-4,91899966;2,98889600
-4,91889966;2,98889600
-4,91879966;3,03564800
-4,91869966;2,98889600
-4,91859966;3,03564800
-4,91849966;2,98889600
-4,91839966;3,03564800
-4,91829966;3,03564800
-4,91819966;3,03564800
-4,91809966;2,98889600
-4,91799966;2,98889600
-4,91789966;3,03564800
-4,91779966;2,98889600
-4,91769966;2,98889600
-4,91759966;2,98889600
-4,91749966;2,98889600
-4,91739966;2,98889600
-4,91729966;2,98889600
-4,91719966;3,03564800
-4,91709966;3,03564800
-4,91699966;2,98889600
-4,91689966;2,98889600
-4,91679966;2,98889600
-4,91669966;2,98889600
-4,91659966;3,03564800
-4,91649966;2,98889600
-4,91639966;2,98889600
-4,91629966;2,98889600
-4,91619966;2,98889600
-4,91609966;2,98889600
-4,91599966;2,98889600
-4,91589966;2,98889600
-4,91579966;2,98889600
-4,91569966;2,98889600
-4,91559966;3,03564800
-4,91549966;3,03564800
-4,91539966;2,98889600
-4,91529966;2,98889600
-4,91519966;3,03564800
-4,91509966;2,98889600
-4,91499966;3,03564800
-4,91489966;2,98889600
-4,91479966;2,98889600
-4,91469966;2,98889600
-4,91459966;2,98889600
-4,91449966;2,98889600
-4,91439966;2,98889600
-4,91429966;2,98889600
-4,91419966;3,03564800
-4,91409966;2,98889600
-4,91399966;2,98889600
-4,91389966;2,98889600
-4,91379966;2,98889600
-4,91369966;3,03564800
-4,91359966;2,98889600
-4,91349966;2,98889600
-4,91339966;2,98889600
-4,91329966;2,98889600
-4,91319966;2,98889600
-4,91309966;3,03564800
-4,91299966;2,98889600
-4,91289966;3,03564800
-4,91279966;2,98889600
-4,91269966;2,98889600
-4,91259966;2,98889600
-4,91249966;2,98889600
-4,91239966;2,98889600
-4,91229966;2,98889600
-4,91219966;2,98889600
-4,91209966;3,03564800
-4,91199966;2,98889600
-4,91189966;3,03564800
-4,91179966;2,98889600
-4,91169966;2,98889600
-4,91159966;2,98889600
-4,91149966;3,03564800
-4,91139966;2,98889600
-4,91129966;3,03564800
-4,91119966;2,98889600
-4,91109966;2,98889600
-4,91099966;2,98889600
-4,91089966;2,98889600
-4,91079966;3,03564800
-4,91069966;2,98889600
-4,91059966;2,98889600
-4,91049966;3,03564800
-4,91039966;2,98889600
-4,91029966;2,98889600
-4,91019966;2,98889600
-4,91009966;2,98889600
-4,90999966;2,94214400
-4,90989966;2,98889600
-4,90979966;2,98889600
-4,90969966;2,98889600
-4,90959966;2,98889600
-4,90949966;2,98889600
-4,90939966;2,98889600
-4,90929966;2,98889600
-4,90919966;2,98889600
